  S0     S1     E      O      M     CCS    YGC     YGCT    FGC    FGCT     GCT   
 59.41   0.00  50.83  18.77  95.50  94.34    124    5.569     6    3.361    8.929
 59.41   0.00  84.13  18.77  95.50  94.34    124    5.569     6    3.361    8.929
  0.00  18.56  26.48  30.83  95.50  94.34    125    5.612     6    3.361    8.973
  0.00  18.56  76.10  30.83  95.50  94.34    125    5.612     6    3.361    8.973
 45.57   0.00  11.94  32.09  95.50  94.34    126    5.652     6    3.361    9.013
 45.57   0.00  65.67  32.09  95.50  94.34    126    5.652     6    3.361    9.013
  0.00  53.22   9.97  34.99  95.50  94.34    127    5.688     6    3.361    9.049
  0.00  53.22  61.80  34.99  95.50  94.34    127    5.688     6    3.361    9.049
 53.19   0.00   3.99  38.58  95.50  94.34    128    5.734     6    3.361    9.095
 53.19   0.00  51.89  38.58  95.50  94.34    128    5.734     6    3.361    9.095
 53.19   0.00  99.79  38.58  95.50  94.34    128    5.734     6    3.361    9.095
  0.00  62.43  27.96  41.90  95.50  94.34    129    5.783     6    3.361    9.144
  0.00  62.43  79.89  41.90  95.50  94.34    129    5.783     6    3.361    9.144
 56.83   0.00  21.98  45.76  95.50  94.34    130    5.827     6    3.361    9.188
 56.83   0.00  55.95  45.76  95.50  94.34    130    5.827     6    3.361    9.188
 56.83   0.00  99.91  45.76  95.50  94.34    131    5.827     6    3.361    9.188
  0.00  57.49  35.98  49.09  95.50  94.34    131    5.894     6    3.361    9.254
  0.00  57.49  76.63  49.09  95.50  94.34    131    5.894     6    3.361    9.254
 86.33  57.49  97.37  50.16  95.50  94.34    132    5.894     6    3.361    9.254
 99.96   0.00  58.03  54.88  95.50  94.34    132    5.965     6    3.361    9.326
 99.96   0.00  91.77  54.88  95.50  94.34    132    5.965     6    3.361    9.326
  0.00  98.07  37.86  57.25  95.50  94.34    133    5.988     6    3.361    9.348
  0.00  98.07  89.60  57.25  95.50  94.34    133    5.988     6    3.361    9.348
 39.42   0.00  36.06  58.59  95.50  94.34    134    6.014     6    3.361    9.375
 39.42   0.00  91.88  58.59  95.50  94.34    134    6.014     6    3.361    9.375
  0.00  98.20  35.93  61.78  95.50  94.34    135    6.055     6    3.361    9.415
  0.00  98.20  67.86  61.78  95.50  94.34    135    6.055     6    3.361    9.415
 48.14   0.00   5.99  64.98  95.50  94.34    136    6.097     6    3.361    9.458
 48.14   0.00  61.92  64.98  95.50  94.34    136    6.097     6    3.361    9.458
  0.00  43.29   5.99  68.71  95.50  94.34    137    6.141     6    3.361    9.502
  0.00  43.29  61.95  68.71  95.50  94.34    137    6.141     6    3.361    9.502
 44.34   0.00   4.00  71.92  95.50  94.34    138    6.199     6    3.361    9.560
 44.34   0.00  53.97  71.92  95.50  94.34    138    6.199     6    3.361    9.560
 44.34  14.34 100.00  72.83  95.50  94.34    139    6.199     6    3.361    9.560
  0.00  46.81  36.68  75.11  95.50  94.34    139    6.267     6    3.361    9.627
  0.00  46.81  61.37  75.11  95.50  94.34    139    6.267     6    3.361    9.627
  0.00  46.81  91.72  75.11  95.50  94.34    139    6.267     6    3.361    9.627
 35.32   0.00  33.65  88.15  95.50  94.34    140    6.319     6    3.361    9.680
 35.32   0.00  81.28  88.15  95.50  94.34    140    6.319     6    3.361    9.680
  0.00   0.00  11.94   2.36  95.50  94.34    141    6.343     7    3.435    9.778
  0.00   0.00  65.66   2.36  95.50  94.34    141    6.343     7    3.435    9.778
 57.62   0.00  11.96   2.36  95.50  94.34    142    6.365     7    3.435    9.800
 57.62   0.00  65.78   2.36  95.50  94.34    142    6.365     7    3.435    9.800
  0.00  52.89   9.98   5.75  95.50  94.34    143    6.404     7    3.435    9.839
  0.00  52.89  60.21   5.75  95.50  94.34    143    6.404     7    3.435    9.839
 65.37   0.00   3.99   8.93  95.50  94.34    144    6.447     7    3.435    9.882
 65.37   0.00  55.92   8.93  95.50  94.34    144    6.447     7    3.435    9.882
  0.00  56.68   0.00  12.60  95.50  94.34    145    6.492     7    3.435    9.927
  0.00  56.68  49.95  12.60  95.50  94.34    145    6.492     7    3.435    9.927
 57.89  56.68 100.00  15.74  95.50  94.34    146    6.492     7    3.435    9.927
 60.88   0.00  41.98  15.78  95.50  94.34    146    6.551     7    3.435    9.986
 60.88   0.00  87.95  15.78  95.50  94.34    146    6.551     7    3.435    9.986
