
 num     #instances         #bytes  class name
 284:             1             40  sun.nio.cs.ext.ExtendedCharsets
 285:             1             40  sun.reflect.generics.repository.MethodRepository
 286:             1             32  [Lcom.sun.beans.util.Cache$Kind;
 287:             1             32  [Ljava.lang.OutOfMemoryError;
 288:             2             32  [Ljava.lang.StackTraceElement;
 289:             1             32  [Ljava.lang.ThreadGroup;
 290:             1             32  [Ljava.net.Proxy$Type;
 291:             2             32  com.sun.beans.WeakCache
 292:             1             32  com.sun.beans.finder.BeanInfoFinder
 293:             1             32  java.beans.ThreadGroupContext
 294:             1             32  java.beans.ThreadGroupContext$1
 295:             1             32  java.io.WinNTFileSystem
 296:             1             32  java.lang.ArithmeticException
 297:             2             32  java.lang.Boolean
 298:             1             32  java.lang.ClassCastException
 299:             1             32  java.lang.NullPointerException
 300:             1             32  java.lang.StringCoding$StringDecoder
 301:             1             32  java.lang.reflect.WeakCache
 302:             1             32  java.net.InetAddress$InetAddressHolder
 303:             1             32  java.net.Socket
 304:             2             32  java.nio.ByteOrder
 305:             1             32  java.text.DontCareFieldPosition
 306:             1             32  java.util.Collections$UnmodifiableMap
 307:             2             32  java.util.HashMap$Values
 308:             1             32  java.util.RegularEnumSet
 309:             2             32  java.util.concurrent.atomic.AtomicInteger
 310:             1             32  java.util.concurrent.atomic.AtomicReferenceFieldUpdater$AtomicReferenceFieldUpdaterImpl
 311:             1             32  java.util.regex.Pattern$BnM
 312:             1             32  sun.instrument.InstrumentationImpl
 313:             1             32  sun.nio.cs.StandardCharsets
 314:             1             32  sun.reflect.generics.reflectiveObjects.TypeVariableImpl
 315:             1             32  sun.reflect.generics.reflectiveObjects.WildcardTypeImpl
 316:             1             32  sun.reflect.generics.tree.MethodTypeSignature
 317:             1             32  sun.security.util.DisabledAlgorithmConstraints$KeySizeConstraint
 318:             1             32  sun.util.locale.provider.LocaleResources
 319:             1             24  [Ljava.io.File$PathStatus;
 320:             1             24  [Ljava.lang.ClassValue$Entry;
 321:             1             24  [Ljava.net.InetAddress$Cache$Type;
 322:             1             24  [Ljava.security.ProtectionDomain;
 323:             1             24  [Ljava.util.Locale$Category;
 324:             1             24  [Lsun.launcher.LauncherHelper;
 325:             1             24  com.sun.beans.util.Cache$Kind$1
 326:             1             24  com.sun.beans.util.Cache$Kind$2
 327:             1             24  com.sun.beans.util.Cache$Kind$3
 328:             1             24  java.lang.ClassValue$Version
 329:             1             24  java.lang.invoke.MethodHandleImpl$4
 330:             1             24  java.lang.reflect.ReflectPermission
 331:             1             24  java.net.Inet4Address
 332:             1             24  java.net.Inet6AddressImpl
 333:             1             24  java.net.Proxy
 334:             1             24  java.util.BitSet
 335:             1             24  java.util.Collections$EmptyMap
 336:             1             24  java.util.Collections$SetFromMap
 337:             1             24  java.util.Currency
 338:             1             24  java.util.Locale$Cache
 339:             1             24  java.util.ResourceBundle$Control$CandidateListCache
 340:             1             24  strategy.BufferOutputStrategy
 341:             1             24  sun.instrument.TransformerManager
 342:             1             24  sun.launcher.LauncherHelper
 343:             1             24  sun.misc.URLClassPath$FileLoader
 344:             1             24  sun.nio.cs.ISO_8859_1
 345:             1             24  sun.nio.cs.ThreadLocalCoders$1
 346:             1             24  sun.nio.cs.ThreadLocalCoders$2
 347:             1             24  sun.nio.cs.US_ASCII
 348:             1             24  sun.nio.cs.UTF_16
 349:             1             24  sun.nio.cs.UTF_16BE
 350:             1             24  sun.nio.cs.UTF_16LE
 351:             1             24  sun.nio.cs.UTF_8
 352:             1             24  sun.nio.cs.ext.GBK
 353:             1             24  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl
 354:             1             24  sun.reflect.generics.scope.ClassScope
 355:             1             24  sun.reflect.generics.scope.MethodScope
 356:             1             24  sun.reflect.generics.tree.FormalTypeParameter
 357:             1             24  sun.reflect.generics.tree.Wildcard
 358:             1             24  sun.security.util.DisabledAlgorithmConstraints
 359:             1             24  sun.util.locale.BaseLocale$Cache
 360:             1             24  sun.util.locale.provider.CalendarDataProviderImpl
 361:             1             24  sun.util.locale.provider.CalendarProviderImpl
 362:             1             24  sun.util.locale.provider.CurrencyNameProviderImpl
 363:             1             24  sun.util.locale.provider.DateFormatSymbolsProviderImpl
 364:             1             24  sun.util.locale.provider.DecimalFormatSymbolsProviderImpl
 365:             1             24  sun.util.locale.provider.NumberFormatProviderImpl
 366:             1             16  [Ljava.beans.EventSetDescriptor;
 367:             1             16  [Ljava.lang.Enum;
 368:             1             16  [Ljava.lang.Throwable;
 369:             1             16  [Ljava.security.cert.Certificate;
 370:             1             16  [Ljava.text.FieldPosition;
 371:             1             16  [Lsun.instrument.TransformerManager$TransformerInfo;
