 S0C    S1C    S0U    S1U      EC       EU        OC         OU       MC     MU    CCSC   CCSU   YGC     YGCT    FGC    FGCT     GCT   
47104.0 41472.0  0.0   41471.0 610304.0 135418.3  699392.0   154952.5  5760.0 5498.6 640.0  603.8      59    2.676   2      1.078    3.754
47104.0 41472.0  0.0   41471.0 610304.0 409110.2  699392.0   154952.5  5760.0 5498.6 640.0  603.8      59    2.676   2      1.078    3.754
47104.0 58368.0 8752.0  0.0   582144.0 58201.1   699392.0   184128.5  5760.0 5498.6 640.0  603.8      60    2.705   2      1.078    3.783
47104.0 58368.0 8752.0  0.0   582144.0 337566.9  699392.0   184128.5  5760.0 5498.6 640.0  603.8      60    2.705   2      1.078    3.783
55808.0 58368.0  0.0   25536.0 582144.0 34923.6   699392.0   192600.6  5760.0 5498.6 640.0  603.8      61    2.731   2      1.078    3.808
55808.0 58368.0  0.0   25536.0 582144.0 325952.3  699392.0   192600.6  5760.0 5498.6 640.0  603.8      61    2.731   2      1.078    3.808
48128.0 53248.0 26496.0  0.0   584704.0   0.0     699392.0   217112.6  5760.0 5498.6 640.0  603.8      62    2.770   2      1.078    3.848
48128.0 53248.0 26496.0  0.0   584704.0 315710.1  699392.0   217112.6  5760.0 5498.6 640.0  603.8      62    2.770   2      1.078    3.848
48128.0 53248.0 26496.0  0.0   584704.0 584648.7  699392.0   217112.6  5760.0 5498.6 640.0  603.8      62    2.770   2      1.078    3.848
50688.0 53248.0  0.0   28576.0 584704.0 233867.2  699392.0   241600.6  5760.0 5498.6 640.0  603.8      63    2.821   2      1.078    3.899
50688.0 53248.0  0.0   28576.0 584704.0 549588.9  699392.0   241600.6  5760.0 5498.6 640.0  603.8      63    2.821   2      1.078    3.899
45056.0 49152.0 24544.0  0.0   594944.0 142781.1  699392.0   270216.6  5760.0 5498.6 640.0  603.8      64    2.870   2      1.078    3.947
45056.0 49152.0 24544.0  0.0   594944.0 440241.4  699392.0   270216.6  5760.0 5498.6 640.0  603.8      64    2.870   2      1.078    3.947
47616.0 49152.0  0.0   24864.0 594944.0 83290.5   699392.0   294784.6  5760.0 5498.6 640.0  603.8      65    2.923   2      1.078    4.001
47616.0 49152.0  0.0   24864.0 594944.0 380754.9  699392.0   294784.6  5760.0 5498.6 640.0  603.8      65    2.923   2      1.078    4.001
43008.0 46080.0 24896.0  0.0   602112.0 24084.2   699392.0   319704.6  5760.0 5498.6 640.0  603.8      66    2.978   2      1.078    4.056
43008.0 46080.0 24896.0  0.0   602112.0 273117.0  699392.0   319704.6  5760.0 5498.6 640.0  603.8      66    2.978   2      1.078    4.056
43008.0 46080.0 24896.0  0.0   602112.0 409881.1  699392.0   319704.6  5760.0 5498.6 640.0  603.8      66    2.978   2      1.078    4.056
46080.0 46080.0  0.0   16654.9 602112.0 62621.9   699392.0   407143.0  5760.0 5499.1 640.0  603.8      67    3.024   2      1.078    4.102
46080.0 46080.0  0.0   16654.9 602112.0 292587.6  699392.0   407143.0  5760.0 5499.1 640.0  603.8      67    3.024   2      1.078    4.102
46080.0 46080.0  0.0   16654.9 602112.0 531650.5  699392.0   407143.0  5760.0 5499.1 640.0  603.8      67    3.024   2      1.078    4.102
43008.0 44544.0 20592.0  0.0   606720.0 181141.1  699392.0   423551.0  5760.0 5499.1 640.0  603.8      68    3.055   2      1.078    4.133
43008.0 44544.0 20592.0  0.0   606720.0 484066.3  699392.0   423551.0  5760.0 5499.1 640.0  603.8      68    3.055   2      1.078    4.133
43520.0 44544.0  0.0   27520.0 606720.0 120957.3  699392.0   443359.1  5760.0 5499.1 640.0  603.8      69    3.092   2      1.078    4.170
43520.0 44544.0  0.0   27520.0 606720.0 435445.4  699392.0   443359.1  5760.0 5499.1 640.0  603.8      69    3.092   2      1.078    4.170
39936.0 41984.0 25600.0  0.0   610816.0 73146.1   699392.0   470911.1  5760.0 5499.1 640.0  603.8      70    3.139   2      1.078    4.217
39936.0 41984.0 25600.0  0.0   610816.0 379969.2  699392.0   470911.1  5760.0 5499.1 640.0  603.8      70    3.139   2      1.078    4.217
39936.0 41984.0 25600.0  0.0   610816.0 489688.3  699392.0   470911.1  5760.0 5499.1 640.0  603.8      70    3.139   2      1.078    4.217
41984.0 41984.0  0.0   29632.0 610816.0 60999.5   699392.0   496527.1  5760.0 5499.1 640.0  603.8      71    3.210   2      1.078    4.288
41984.0 41984.0  0.0   29632.0 610816.0 329396.6  699392.0   496527.1  5760.0 5499.1 640.0  603.8      71    3.210   2      1.078    4.288
41984.0 41984.0  0.0   29632.0 610816.0 597793.9  699392.0   496527.1  5760.0 5499.1 640.0  603.8      72    3.210   2      1.078    4.288
38912.0 40448.0 25568.0  0.0   614912.0 221175.1  699392.0   526191.1  5760.0 5499.1 640.0  603.8      72    3.260   2      1.078    4.338
38912.0 40448.0 25568.0  0.0   614912.0 516075.2  699392.0   526191.1  5760.0 5499.1 640.0  603.8      72    3.260   2      1.078    4.338
38912.0 40448.0  0.0   25728.0 614912.0 86038.9   699392.0   551767.1  5760.0 5499.1 640.0  603.8      73    3.341   2      1.078    4.419
38912.0 40448.0  0.0   25728.0 614912.0 356446.3  699392.0   551767.1  5760.0 5499.1 640.0  603.8      73    3.341   2      1.078    4.419
38912.0 40448.0  0.0   25728.0 614912.0 516232.3  699392.0   551767.1  5760.0 5499.1 640.0  603.8      73    3.341   2      1.078    4.419
38912.0 40448.0 27007.0 25728.0 614912.0 614912.0  699392.0   606839.1  5760.0 5499.1 640.0  603.8      74    3.341   2      1.078    4.419
38912.0 66560.0 38911.0  0.0   565760.0 284112.2  699392.0   617247.1  5760.0 5499.1 640.0  603.8      74    3.421   2      1.078    4.499
38912.0 66560.0 38911.0  0.0   565760.0 510333.0  699392.0   617247.1  5760.0 5499.1 640.0  603.8      74    3.421   2      1.078    4.499
67072.0 12800.0  0.0    0.0   565760.0 113125.3  699392.0   13649.8   5760.0 5499.1 640.0  603.8      75    3.450   3      1.146    4.596
67072.0 12800.0  0.0    0.0   565760.0 418563.3  699392.0   13649.8   5760.0 5499.1 640.0  603.8      75    3.450   3      1.146    4.596
67072.0 64512.0 24864.0  0.0   567296.0 125810.0  699392.0   13649.8   5760.0 5499.1 640.0  603.8      76    3.470   3      1.146    4.616
67072.0 64512.0 24864.0  0.0   567296.0 432102.7  699392.0   13649.8   5760.0 5499.1 640.0  603.8      76    3.470   3      1.146    4.616
62464.0 26112.0  0.0   25888.0 567296.0 136135.9  699392.0   37497.8   5760.0 5499.1 640.0  603.8      77    3.507   3      1.146    4.653
62464.0 26112.0  0.0   25888.0 567296.0 431096.9  699392.0   37497.8   5760.0 5499.1 640.0  603.8      77    3.507   3      1.146    4.653
62464.0 59392.0 27840.0  0.0   570368.0 91252.6   699392.0   61369.8   5760.0 5499.1 640.0  603.8      78    3.548   3      1.146    4.694
62464.0 59392.0 27840.0  0.0   570368.0 399229.1  699392.0   61369.8   5760.0 5499.1 640.0  603.8      78    3.548   3      1.146    4.694
57856.0 59392.0  0.0   23936.0 570368.0 68441.3   699392.0   89249.9   5760.0 5499.1 640.0  603.8      79    3.590   3      1.146    4.736
57856.0 59392.0  0.0   23936.0 570368.0 365018.8  699392.0   89249.9   5760.0 5499.1 640.0  603.8      79    3.590   3      1.146    4.736
57856.0 55808.0 23872.0  0.0   579072.0   0.0     699392.0   113201.9  5760.0 5499.1 640.0  603.8      80    3.647   3      1.146    4.793
57856.0 55808.0 23872.0  0.0   579072.0 289527.8  699392.0   113201.9  5760.0 5499.1 640.0  603.8      80    3.647   3      1.146    4.793
57856.0 55808.0 23872.0  0.0   579072.0 532731.4  699392.0   113201.9  5760.0 5499.1 640.0  603.8      80    3.647   3      1.146    4.793
54272.0 55808.0  0.0   24224.0 579072.0 81068.8   699392.0   137089.9  5760.0 5499.1 640.0  603.8      81    3.720   3      1.146    4.866
54272.0 55808.0  0.0   24224.0 579072.0 266367.9  699392.0   137089.9  5760.0 5499.1 640.0  603.8      81    3.720   3      1.146    4.866
54272.0 55808.0  0.0   24224.0 579072.0 335854.9  699392.0   137089.9  5760.0 5499.1 640.0  603.8      81    3.720   3      1.146    4.866
54272.0 55808.0  0.0   24224.0 579072.0 435110.5  699392.0   137089.9  5760.0 5499.1 640.0  603.8      81    3.720   3      1.146    4.866
54272.0 55808.0 11184.0 24224.0 579072.0 532000.9  699392.0   218609.9  5760.0 5499.1 640.0  603.8      82    3.720   3      1.146    4.866
54272.0 53248.0 17566.9  0.0   586240.0 269209.3  699392.0   235065.9  5760.0 5499.1 640.0  603.8      82    3.774   3      1.146    4.920
54272.0 53248.0 17566.9  0.0   586240.0 571728.8  699392.0   235065.9  5760.0 5499.1 640.0  603.8      82    3.774   3      1.146    4.920
52736.0 53248.0  0.0   17072.0 586240.0 210000.5  699392.0   252401.9  5760.0 5499.1 640.0  603.8      83    3.797   3      1.146    4.943
52736.0 53248.0  0.0   17072.0 586240.0 455000.8  699392.0   252401.9  5760.0 5499.1 640.0  603.8      83    3.797   3      1.146    4.943
49152.0 50176.0 26656.0  0.0   592896.0 82738.0   699392.0   268930.0  5760.0 5499.1 640.0  603.8      84    3.844   3      1.146    4.990
49152.0 50176.0 26656.0  0.0   592896.0 378231.0  699392.0   268930.0  5760.0 5499.1 640.0  603.8      84    3.844   3      1.146    4.990
49152.0 50176.0 26656.0 4768.0 592896.0 592896.0  699392.0   275874.0  5760.0 5499.1 640.0  603.8      85    3.844   3      1.146    4.990
48128.0 50176.0  0.0   25024.0 592896.0 177496.8  699392.0   295602.0  5760.0 5499.1 640.0  603.8      85    3.905   3      1.146    5.051
48128.0 50176.0  0.0   25024.0 592896.0 451706.4  699392.0   295602.0  5760.0 5499.1 640.0  603.8      85    3.905   3      1.146    5.051
46080.0 46592.0 28928.0  0.0   600576.0 59976.0   699392.0   320642.0  5760.0 5499.1 640.0  603.8      86    3.956   3      1.146    5.102
46080.0 46592.0 28928.0  0.0   600576.0 287884.4  699392.0   320642.0  5760.0 5499.1 640.0  603.8      86    3.956   3      1.146    5.102
46080.0 46592.0 28928.0  0.0   600576.0 443821.8  699392.0   320642.0  5760.0 5499.1 640.0  603.8      86    3.956   3      1.146    5.102
45056.0 46592.0  0.0   25120.0 600576.0 48003.8   699392.0   349610.0  5760.0 5499.1 640.0  603.8      87    4.014   3      1.146    5.160
45056.0 46592.0  0.0   25120.0 600576.0 276021.1  699392.0   349610.0  5760.0 5499.1 640.0  603.8      87    4.014   3      1.146    5.160
45056.0 46592.0  0.0   25120.0 600576.0 552041.9  699392.0   349610.0  5760.0 5499.1 640.0  603.8      87    4.014   3      1.146    5.160
